Filename, Average interval, Maximum Interval, Minimum Interval, Repeated Notes
0001.ls, 2.375, 4.0, 1.0, 0.0
0002.ls, 2.125, 4.0, 1.0, 0.0
0003.ls, 3.125, 7.0, 1.0, 0.0
0004.ls, 3.125, 7.0, 1.0, 0.0
0005.ls, 2.7777777, 7.0, 1.0, 0.0
0006.ls, 2.75, 5.0, 1.0, 0.0
0007.ls, 4.5454545, 10.0, 1.0, 0.0
0008.ls, 2.4444444, 4.0, 1.0, 0.0
0009.ls, 4.4, 10.0, 1.0, 0.0
0010.ls, 3.0, 7.0, 1.0, 0.0
0011.ls, 1.4285715, 3.0, 1.0, 0.0
0012.ls, 3.1, 4.0, 1.0, 0.0
0013.ls, 1.8, 3.0, 1.0, 0.0
0014.ls, 1.9166666, 3.0, 1.0, 0.0
0015.ls, 1.5714285, 2.0, 1.0, 0.0
0016.ls, 2.8, 5.0, 1.0, 0.0
0017.ls, 3.6, 12.0, 1.0, 0.0
0018.ls, 1.4166666, 2.0, 0.0, 2.0
0019.ls, 4.8333335, 8.0, 0.0, 1.0
0020.ls, 2.1666667, 4.0, 1.0, 0.0
0021.ls, 5.7272725, 12.0, 1.0, 0.0
0022.ls, 3.2857144, 7.0, 1.0, 0.0
0023.ls, 2.909091, 5.0, 1.0, 0.0
0024.ls, 2.5714285, 9.0, 1.0, 0.0
0025.ls, 2.1666667, 4.0, 1.0, 0.0
0026.ls, 3.090909, 5.0, 2.0, 0.0
0027.ls, 1.56, 2.0, 1.0, 0.0
0028.ls, 1.3333334, 3.0, 0.0, 2.0
0029.ls, 1.5, 3.0, 0.0, 2.0
0030.ls, 1.25, 2.0, 0.0, 2.0
0031.ls, 2.4666667, 5.0, 1.0, 0.0
0032.ls, 2.8125, 5.0, 1.0, 0.0
0033.ls, 3.090909, 5.0, 1.0, 0.0
0034.ls, 4.428571, 10.0, 1.0, 0.0
0035.ls, 1.8333334, 3.0, 1.0, 0.0
0036.ls, 2.25, 5.0, 1.0, 0.0
0037.ls, 2.2857144, 9.0, 1.0, 0.0
0038.ls, 1.6153846, 3.0, 1.0, 0.0
0039.ls, 4.428571, 10.0, 1.0, 0.0
0040.ls, 1.75, 3.0, 1.0, 0.0
0041.ls, 1.7272727, 3.0, 1.0, 0.0
0042.ls, 2.5714285, 7.0, 1.0, 0.0
0043.ls, 2.3125, 7.0, 1.0, 0.0
0044.ls, 2.125, 5.0, 0.0, 1.0
0045.ls, 1.9375, 4.0, 1.0, 0.0
0046.ls, 1.3571428, 2.0, 0.0, 1.0
0047.ls, 2.0, 4.0, 1.0, 0.0
0048.ls, 2.3846154, 4.0, 1.0, 0.0
0049.ls, 2.6666667, 5.0, 1.0, 0.0
0050.ls, 1.6666666, 3.0, 1.0, 0.0
0051.ls, 1.7333333, 4.0, 1.0, 0.0
0052.ls, 2.0, 3.0, 1.0, 0.0
0053.ls, 2.625, 6.0, 1.0, 0.0
0054.ls, 1.875, 3.0, 1.0, 0.0
0055.ls, 2.25, 4.0, 1.0, 0.0
0056.ls, 2.9375, 7.0, 1.0, 0.0
0057.ls, 3.3333333, 10.0, 0.0, 1.0
0058.ls, 1.8125, 3.0, 1.0, 0.0
0059.ls, 2.0714285, 3.0, 1.0, 0.0
0060.ls, 2.625, 9.0, 1.0, 0.0
0061.ls, 2.6666667, 7.0, 1.0, 0.0
0062.ls, 3.642857, 10.0, 1.0, 0.0
0063.ls, 2.9166667, 5.0, 1.0, 0.0
0064.ls, 2.125, 8.0, 1.0, 0.0
0065.ls, 1.5882353, 4.0, 1.0, 0.0
0066.ls, 2.75, 9.0, 1.0, 0.0
0067.ls, 2.8888888, 11.0, 1.0, 0.0
0068.ls, 2.4666667, 5.0, 1.0, 0.0
0069.ls, 2.5333333, 6.0, 1.0, 0.0
0070.ls, 2.3529413, 5.0, 1.0, 0.0
0071.ls, 2.75, 14.0, 1.0, 0.0
0072.ls, 2.5454545, 5.0, 1.0, 0.0
0073.ls, 2.2666667, 4.0, 1.0, 0.0
0074.ls, 2.4666667, 9.0, 0.0, 1.0
0075.ls, 2.5, 7.0, 1.0, 0.0
0076.ls, 2.0, 4.0, 1.0, 0.0
0077.ls, 2.5625, 5.0, 1.0, 0.0
0078.ls, 1.8125, 4.0, 1.0, 0.0
0079.ls, 2.0625, 4.0, 1.0, 0.0
0080.ls, 2.125, 5.0, 1.0, 0.0
0081.ls, 2.0, 5.0, 1.0, 0.0
0082.ls, 3.0, 9.0, 1.0, 0.0
0083.ls, 2.8125, 4.0, 1.0, 0.0
0084.ls, 5.0625, 8.0, 3.0, 0.0
0085.ls, 2.75, 8.0, 1.0, 0.0
0086.ls, 4.117647, 12.0, 1.0, 0.0
0087.ls, 1.9375, 4.0, 1.0, 0.0
0088.ls, 4.375, 8.0, 1.0, 0.0
0089.ls, 2.3125, 5.0, 1.0, 0.0
0090.ls, 2.8235295, 5.0, 1.0, 0.0
0091.ls, 2.875, 9.0, 1.0, 0.0
0092.ls, 2.6666667, 5.0, 0.0, 1.0
0093.ls, 1.8947369, 4.0, 0.0, 1.0
0094.ls, 2.6875, 7.0, 1.0, 0.0
0095.ls, 3.3888888, 13.0, 1.0, 0.0
0096.ls, 2.6, 8.0, 1.0, 0.0
